,Sentences
2719,"After one hundred yards the double trail led us to a great pile of wood, and into this both went."
2720,"Having followed his game into dense cover, the trailer's first business was to make sure that it did not go out the other side."
2721,We went carefully around the pile; there were no tracks leading out.
2722,"Now, I said, if you will take the trouble to move that wood pile you will find in it the remains of the rabbit half devoured and the mink himself."
2723,At this moment he is no doubt curled up asleep.
2724,"As the pile was large and the conclusion more or less self evident, my brother was content to accept my reading of the episode."
2725,"Dog tracks, front and back Cat tracks, front and bad Uppermost, well developed human foot Middle, a foot always cramped by boots Bottom, a bare foot, never in boots Muskrat tracks, What About Winter Sleepers Although so much is to be read in the wintry white, we cannot now make a full account of all the woodland four foots, for there are some kinds that do not come out on the snow; they sleep more or less all winter."
2726,"Thus, one rarely sees the track of a chipmunk or woodchuck in truly wintry weather; and never, so far as I know, have the trails of jumping mouse or mud turtle been seen in the snow."
2727,These we can track only in the mud or dust.
2728,"Such trails cannot be followed as far as those in the snow, simply because the mud and dust do not cover the whole country, but they are usually as clear and in some respects more easy of record."
2729,How to Make Pictures of Tracks It is a most fascinating amusement to learn some creature's way of life by following its fresh track for hours in good snow.
2730,I never miss such a chance.
2731,"If I cannot find a fresh track, I take a stale one, knowing that, theoretically, it is fresher at every step, and from practical experience that it always brings one to some track that is fresh."
2732,How often I have wished for a perfect means of transferring these wild life tales to paper or otherwise making a permanent collection.
2733,"My earliest attempts were in free hand drawing, which answers, but has this great disadvantage it is a translation, a record discolored by an intervening personality, and the value of the result is likely to be limited by one's own knowledge at the time."
2734,Casting in plaster was another means attempted; but not one track in ten thousand is fit to cast.
2735,"Nearly all are blemished and imperfect in some way, and the most abundant those in snow cannot be cast at all."
2736,"Then I tried spreading plastic wax where the beasts would walk on it, in pathways or before dens."
2737,"The simplest ground squirrel knew too much to venture on my waxen snare; around 'it, or if hemmed in, over it, with a mighty bound they went; but never a track did I so secure."
2738,"Photography naturally suggested itself, but the difficulties proved as great as unexpected, almost as great as in casting."
2739,Not one track in one thousand is fit to photograph; the essential details are almost always left out.
2740,"You must have open sunlight, and even when the weather is perfect there are practically but two times each day when it is possible in mid morning and mid afternoon, when the sun is high enough for clear photographs and low enough to cast a shadow in the faint track."
2741,The Coon that Showed Me How Then a new method was suggested in an unexpected way.
2742,A friend of mine had a pet coon which he kept in a cage in his bachelor quarters up town.
2743,"One day, during my friend's absence the coon got loose and set about a series of long deferred exploring expeditions, beginning with the bachelor's bedroom."
2744,The first promising object was a writing desk.
2745,"Mounting by a chair the coon examined several uninteresting books and papers, and then noticed higher up a large stone bottle."
2746,"He had several times found pleasurable stuff in bottles, so he went for it."
2747,"The cork was lightly in and easily disposed of, but the smell was far from inviting, for it was merely a quart of ink."
2748,"Determined to leave no stone unturned, however, the coon upset the ink to taste and try."
2749,it tasted even worse than it smelt; it was an utter failure as a beverage.
2750,"And the coon, pushing it contemptuously away, turned to a pile of fine hand made, deckle edge, heraldry note paper the pride of my friend's heart and when he raised his inky little paws there were left on the paper some beautiful black prints."
2751,This was a new idea: the coon tried it again and again.
2752,"But the ink held out longer than the paper, so that the fur clad painter worked over sundry books, and the adjoining walls, while the ink, dribbling over everything, formed a great pool below the desk."
2753,"Something attracted the artist's attention, causing him to jump down."
2754,"He landed in the pool of ink, making it splash in all directions; some of the black splotches reached the white counterpane of the bachelor's bed."
2755,"Another happy idea: the coon now leaped on the bed, racing around as long as the ink on his feet gave results."
2756,"As he paused to rest, or perhaps to see if any places had been neglected, the door opened, and in came the landlady."
2757,The scene which followed was too painful for description; no one present enjoyed it.
2758,My friend was sent for to come and take his coon out of there forever.
2759,"He came and took him away, I suppose forever."
2760,"He had only one other place for him his office and there it was I made the animal's acquaintance and heard of his exploit an ink and paper, if not a literary affair."
2761,"This gave me the hint at the Zoo I needed, a plan to make an authentic record of animal tracks."
2762,Armed with printer's ink and paper rolls I set about gathering a dictionary collection of imprints.
2763,"After many failures and much experiment, better methods were devised."
2764,"A number of improvements were made by my wife; one was the substitution of black paint for printer's ink, as the latter dries too quickly; another was the padding of the paper, which should be light and soft for very light animals, and stronger and harder for the heavy."
2765,"Printing from a mouse, for example, is much like printing a delicate etching; ink, paper, dampness, etc., must be exactly right, and furthermore, you have this handicap you cannot regulate the pressure."
2766,"This is, of course, strictly a Zoo method."
2767,All attempts to secure black prints from wild animals have been total failures.
2768,"The paper, the smell of paint, etc., are enough to keep the wild things away."
2769,"In the Zoo we spread the black pad and the white paper in a narrow, temporary lane, and one by one drove, or tried to drive, the captives over them, securing a series of tracks that are life size, properly spaced, absolutely authentic, and capable of yielding more facts as the observer learns more about the subject."
2770,"As related here, all this sounds quite easy."
2771,"But no one has any idea how cross, crooked, and contrary a creature can be, until he wishes it to repeat for him some ordinary things that it has hitherto done hourly."
2772,"Some of them balked at the paint, some at the paper, some made a leap to clear all, and thereby wrecked the entire apparatus."
2773,"Some would begin very well, but rush back when half way over, so as to destroy the print already made, and in most cases the calmest, steadiest, tamest of beasts became utterly wild, erratic, and unmanageable when approached with tracklogical intent."
2774,Trying It on the Cat Even domestic animals are difficult.
2775,"A tame cat that was highly trained to do anything a cat could do, was selected as promising for a black track study, and her owner's two boys volunteered to get all the cat tracks I needed."
2776,"They put down a long roll of paper in a hall, painted pussy's feet black, and proceeded to chase her up and down."
2777,Her docility banished under the strain.
2778,"She raced madly about, leaving long, useless splashes of black; then, leaping to a fanlight, she escaped up stairs to take refuge among the snowy draperies."
2779,After which the boys' troubles began.
2780,"Drawing is Mostly Used These, however, are mere by accidents and illustrate the many practical difficulties."
2781,"After these had been conquered with patience and ingenuity, there could be no doubt of the value of the prints."
2782,"They are the best of records for size, spacing, and detail, but fail in giving incidents of wild life, or the landscape surroundings."
2783,"The drawings, as already seen, are best for a long series and for faint features; in fact, the drawings alone can give everything you can perceive; but they fail in authentic size and detail."
2784,"Photography has this great advantage it gives the surroundings, the essential landscape and setting, and, therefore, the local reason for any changes of action on the part of the animal; also the aesthetic beauties of its records are unique, and will help to keep the method in a high place."
2785,"Thus each of the three means may be successful in a different way, and the best, most nearly perfect alphabet of the woods, would include all three, and consist of a drawing, a pedoscript and a photograph of each track, and a trail; i.e., a single footprint, and the long series of each animal."
2786,"My practice has been to use all whenever I could, but still I find free hand drawing is the one of the most practical application."
2787,When I get a photograph I treasure it as an adjunct to the sketch.
2788,"A Story of the Trail To illustrate the relative value as records, of sketch and photograph, I give a track that I drew from nature, but which could not at any place have been photographed."
2789,This was made in February near Toronto.
2790,"It is really a condensation of the facts, as the trail is shortened where uninteresting."
2791,"At A, I found a round place about x inches, where a cottontail had crouched during the light snowfall."
2792,"At B he had leaped out and sat looking around; the small prints in front were made by his forefeet, the two long ones by his hind feet, and farther back is a little dimple made by the tail, showing that he was sitting on it."
2793,"Something alarmed him, causing him to dart out at full speed toward C and D, and now a remarkable change is to be seen: the marks made by the front feet are behind the large marks made by the hind feet, because the rabbit overreaches each time; the hind feet track ahead of the front feet; the faster he goes, the farther ahead those hind feet get; and what would happen if he multiplied his speed by ten I really cannot imagine."
2794,This overreach of the hind feet takes place in most bounding animals.
2795,Now the cottontail began a series of the most extraordinary leaps and dodgings
2796,as though trying to escape from some enemy.
2797,I began to think the rabbit was crazy was flying from an imaginary foe that possibly I was on the trail of a March hare.
2798,But at G I found for the first time some spots of blood.
2799,This told me that the rabbit was in real danger but gave no due to its source.
2800,I wondered if a weasel were clinging to its neck.
2801,"A few yards farther, at H, I found more blood."
2802,"Twenty yards more, at I, for the first time on each side of the rabbit trail, were the obvious marks of a pair of broad, strong wings."
2803,now I knew the mystery of the cottontail running from a foe that left no track.
2804,"He was pursued by an eagle, a hawk, or an owl."
2805,A few yards farther and I found the remains of the cottontail partly devoured.
2806,This put the eagle out of the question; an eagle would have carried the rabbit off boldly.
2807,A hawk or an owl then was the assassin.
2808,"I looked for something to decide which, and close by the remains found the peculiar two paired track of an owl."
2809,"A hawk's track would have been as K, while the owl nearly always sets its feet in the ground with two toes forward and two toes back."
2810,There were at least three in the valley that might be blamed.
2811,"I looked for more proof and got it on the near by sapling one small feather, downy, as are all owl feathers, and bearing three broad bars, telling me plainly that a barred owl had been there lately, and that, therefore, he was almost certainly the slayer of the cottontail."
2812,"As I busied myself making notes, what should come flying up the valley but the owl himself back to the very place of the crime, intent on completing his meal no doubt."
2813,"He alighted on a branch ten feet above my head and just over the rabbit remains, and sat there muttering in his throat."
2814,"The proof in this case was purely circumstantial, but I think that we can come to only one conclusion; that the evidence of the track in the snow was complete and convincing."
2815,continued Meadow Mouse The meadow mouse autograph illustrates the black track method.
2816,"At first these dots look inconsequent and fortuitous, but a careful examination shows that the creature had four toes with claws on the forefeet, and five on the hind, which is evidence, though not conclusive, that it was a rodent; the absence of tail marks shows that the tail was short or wanting; the tubercules on each palm show to what group of mice the creature belongs."
2817,"The alternation of the track shows that it was a ground animal, not a tree climber; the spacing shows the shortness of the legs; their size determines the size of the creature."
2818,"Thus we come near to reconstructing the animal from its tracks, and see how by the help of these studies, we can get much light on the by gone animals whose only monuments are tracks in the sedimentary rocks about us rocks that, when they received these imprints, were the muddy margin of these long gone creatures' haunts."
2819,What the Trail Gives The Secrets of the Woods There is yet another feature of trail study that gives it exceptional value it is an account of the creature pursuing its ordinary life.
2820,"If you succeeded in getting a glimpse of a fox or a hare in the woods, the chances are a hundred to one that it was aware of your presence first."
2821,"They are much cleverer than we are at this sort of thing, and if they do not actually sight or sense you, they observe, and are warned by the action of some other creature that did sense us, and so cease their occupations to steal away or hide."
2822,"But the snow story will tell of the life that the animal ordinarily leads its method of searching for food, its kind of food, the help it gets from its friends, or sometimes from its rivals and thus offers an insight into its home ways that is scarcely to be attained in any other way."
2823,"The trailer has the key to a new storehouse of Nature's secrets, another of the Sybilline books is opened to his view; his fairy godmother has, indeed, conferred on him a wonderful gift in opening his eyes to the foot writing of the trail."
2824,"It is like giving sight to the blind man, like the rolling away of fogs from a mountain view, and the trailer comes closer than others to the heart of the woods."
2825,"Dowered with a precious power is he, He drinks where others sipped, And wild things write their lives for him In endless manuscript."
2826,"Illustration: Tracks: Wild Turkey, Toad, Crow,"
2827,"A bird living partly in tree, partly on ground Horses' Track _N.B. The large tracks represent the hind feet_."
2828,"Illustration: Tracks; Walking, Trotting, Canter, Galloping, Lame Horse Walking: Which leg is the lame in"
2829,These are the tracks of two birds on the ground.
2830,"One lives generally on the ground, the other in bushes and trees."
2831,Which track belongs to which bird
2832,continued The American Morse Telegraph Alphabet Illustration: Morse codes.
2833,Min Wait a moment O B Official business.
2834,O K All right Opr Operator.
2835,Rememberable Morse or Re Morse Alphabet Illustration: Rememberable Morse or Re Morse Alphabet.
2836,By this method it is possible to learn the Morse alphabet in less than an hour.
2837,"From A to B in both figures, illustrates method of making a dot."
2838,A complete swing from A to C in both figures indicates method of making a dash.
2839,Wig Wag or Myer Code _Instructions for Using the System_ The whole number opposite each letter or numeral stands for that letter or numeral.
2840,A B C D E F G H I J K L M N O P Q R S T U V W X Y Z tion Numerals Conventional Signals End of word Wait a moment End of sentence Repeat after End of message x x numerals follow numerals end.
2841,Repeat last word Repeat last message sig signature follows.
2842,"Error Move a little to right Acknowledgment, or I understand Move a little to left Cease signaling Signal faster Abbreviations a after b before c can h have n not r are t the u you ur your w word wi with y yes Rememberable Myer Code The elements a thick and a thin, i. e. and Illustration: Rememberable Myer Code."
2843,To Signal with Flag or Torch Wig Wag There is but one position and three motions.
2844,"The first position is with the flag or other appliance held vertically, the signalman facing squarely toward the station with which it is desired to communicate."
2845,"The first motion is to the right of the sender and will embrace an arc of degrees, starting with the vertical and returning to it, and will be made in a plane at right angle to the line connecting the two stations."
2846,The second motion is a similar motion to the left of the sender.
2847,"The third motion is downward, directly in front of the sender, and instantly returned upward to the first position."
2848,Numbers which occur in the body of a message must be spelled out in full.
2849,"Numerals may be used in signaling between stations having naval books, using the code calls."
2850,"To break or stop the signals from the sending station, make with the flag or other signal continuously."
2851,"To Send a Message To call a station signal its letter until acknowledged; if the call letter be not known, signal E until acknowledged."
2852,"To acknowledge a call, signal understand, followed by the call letter of the acknowledging station."
2853,Make a slight pause after each letter and also after front.
2854,If the sender discovers that he has made an error he should make followed by after which he begins the word in which the error occurred.
2855,The Semaphore Signal Code The scout may learn the correct angles at which to hold the flags from the diagram.
2856,"The easiest method of learning the alphabet is by grouping the various letters together as follows: For all letters from A to G, one arm only is used, making a quarter of a circle for each letter in succession."
2857,The letters from H to N the right arm stands at A while the left moves round the circle for the other letters.
2858,"For O to S, the right arm stands at B the left arm moves round as before."
2859,"For T, U, Y and the annul, the right arm stands at C, the left moving to the next point of the circle successively."
2860,The numerical sign J and V the right arm stands at position for letter D the left arm only being moved.
2861,"W and X the left arm stands at position for letter E, the right in this case moving down degrees to show letter X."
2862,"For the letter Z, the left arm stands at the position G the right arm crosses the breast taking the position F. Illustration: Semaphore code."
2863,"The letters A to I also stand for the figures to , if you make the numerical sign to show that you are going to send numbers followed by the alphabetical sign when the figures are finished."
2864,They will be checked by being repeated back by the receiving station.
2865,Should figures be wrongly repeated by the receiving station the sending station will send the annul sign and then send the group of figures again.
2866,The sender must always face the station to which he is sending.
2867,"On a word failing to make sense, the writer down will say, no, when the reader will at once stop the sending station by raising both arms horizontally to their full extent ."
2868,This demand for repetition the sending station will acknowledge by making J.
2869,"The signaller receiving the message will then send the last word he has read correctly, upon which the sender will continue the message from that word."
2870,"One long blast means Silence, Alert, Look out for my next signal."
2871,Two short blasts means All right.
2872,"A succession of long, slow blasts means Go out, Get farther away, or Advance, Extend, Scatter."
2873,"A succession of short, sharp blasts means Rally, Close in, Come together, Fall in, Danger, Alarm."
2874,"Three short blasts followed by one long one from scout master calls up the patrol leaders i.e., Leaders, come here."
2875,Any whistle signal must be instantly obeyed at the double as fast as you can run no matter what other job you may be doing at the time.
2876,"Hand or Flag Signals Hand signals, which can also be made by patrol leaders with their patrol flags when necessary: Hand waved several times across the face from side to side or flag waved horizontally, from side to side opposite the face, means No, Never mind, As you were."
2877,"Hand or flag held high, and waved as though pushing forward, at full extent of arm, or whistle a succession of slow blasts means Extend, Go farther out, Scatter."
2878,"Hand or flag held high, and waved rapidly from side to side, at full extent of arm, or a succession of short, quick blasts on the whistle, means Close in, Rally, Come here, Danger, Cattle on track."
2879,Hand or flag pointing in any direction means Go in that direction.
2880,"Clenched hand or flag jumped rapidly up and down several times means, Hurry, Run."
2881,"The movement, pushing or beckoning, indicates whether Hurry here or Hurry there."
2882,"Hand held straight up over head, palm forward, means Stop, Halt."
2883,"When a leader is shouting an order or message to a scout who is some way off, the scout, if he hears what is being said, should hold up his hand level with his head all the time."
2884,"If he cannot hear, he should stand still, making no sign."
2885,"The leader will then repeat louder, or beckon to the scout to come in nearer."
2886,"The following signals are made by a scout with his staff when he is sent out to reconnoitre within sight of his patrol, and they have the following meaning: Staff held up horizontally, that is, level, with both hands above the head, means, I have found."
2887,"The same, out with staff moved up and down slowly, means, I have found, but a long way off."
2888,"The same, staff moved up and down rapidly, means, I have found, and close by."
2889,"The staff held straight up over the head means, Nothing in sight."
2890,Indian Signs and Blazes Shaking a blanket: I want to talk to you.
2891,Hold up a tree branch: I want to make peace.
2892,"Hold up a weapon, means war: I am ready to fight."
2893,"Hold up a pole horizontally, with hands on it: I have found something."
2894,Good water not far in this direction.
2895,"A long way to good water, go in direction of arrow."
2896,We camped here because one of us was sick.
2897,Letter hidden three paces from here in the direction of arrow.
2898,This path not to be followed.
2899,"WIRELESS TELEGRAPHY _The Boy Scout Wireless Club Y. M. C. A., Newark, N.J._ The following directions are given for an up to date wireless apparatus for stationary use in the home or at the meeting place of each patrol."
2900,We will consider the receiving apparatus first: Illustration: Diagram of wireless transmitter and receiver.
2901,The first thing to do is to build an aerial.
2902,"First find out how long your location will allow you to build it, and how high."
2903,It ought to be at least to feet high and about to feet long.
2904,"The main point in building an aerial is to have it well insulated from the ground, and all connections in wire perfectly solid."
2905,It is advisable to solder every connection and to make your aerial strong as it has a great deal to do with the working qualities of the station.
2906,"After this is completed, the inside work on instruments should begin."
2907,"A pair of watch case receivers having a resistance of ohms each, manufactured by a reliable firm."
2908,A loose coupler tuning coil of about meters.
2909,One of Mordock's metal detectors or one of similar design.
2910,A variable condenser of about plates.
2911,A fixed condenser so arranged that its capacity can be changed if desired.
2912,"With these instruments the receiving set is complete, so we next take up the sending apparatus."
2913,One wireless key with heavy contacts.
2914,A plate condenser which can be easily made by any scout.
2915,Good glass is the main point.
2916,"A triple pole, double throw aerial switch."
2917,Now you have everything necessary to go ahead and assemble your station.
2918,The next thing is to connect them up.
2919,Above is a diagram which will make a good station for a scout.
2920,"This station, if the aero is of the proper height, is capable of sending messages from to miles."
2921,The Receiving Set Perhaps the most fundamentally important part of a wireless telegraph station is the aerial.
2922,"Its construction varies with each station, but a few general suggestions may be of use."
2923,"The builder should aim to get as high and as long an aerial as possible, height being the more important factor."
2924,In a stationary set the aerial may be fastened to a tree or pole or high building while in a field set a tree or an easily portable pole must be used.
2925,The aerial itself should be made of copper wire and should be hung between spreaders as long as convenient and insulated from them by two cleat insulators in series at each end.
2926,"The experimenter should see that his leading in wire is placed conveniently and comes in contact with the walls, etc., as little as possible."
2927,"All points of contact must be well insulated with glass, porcelain, or hard rubber."
2928,The tuning coil is very simple in construction.
2929,"A cardboard tube, about three inches in diameter, is mounted between two square heads."
2930,This tube is wound with No.
2931,insulated copper wire and very well shellaced to avoid loosening of the wire.
2932,"Two pieces of one quarter inch square brass rod, to be fastened between the heads, are secured, and a slider, as shown in drawing, is made."
2933,The rods are fastened on the heads and the insulation in the path of the slides is then well scraped off.
2934,Binding posts are then fastened to rods and coil ends.
2935,Illustration: Details of instruments for field use.
2936,"The detector, although the most important of the instruments, is perhaps the simplest."
2937,It is constructed of a hardwood base with a small brass plate fastened on by means of a binding post.
2938,"On the other end of the base is fastened a double binding post which holds a brass spring, as in the drawing."
2939,On the end of this spring is fastened a copper point made by winding a few inches of No.
2940,or wire on it and allowing about three sixteenths of an inch to project.
2941,"This completes the detector but, for use in this instrument, lead sulphide or Galena crystals must be secured."
2942,"The condenser is made of two pieces of tin foil, four by ten, and three pieces of waxed paper a little larger than the foil."
2943,"A piece of wire is twisted into the end of each piece of foil, and then one sheet of foil is laid on a sheet of paper."
2944,This is then covered by another sheet of paper upon which is laid the second sheet of foil.
2945,On top of this is laid the third sheet of paper and the whole is folded into a convenient bundle.
2946,The sheets of foil must be well insulated from each other and the wires must project from the condenser.
2947,The ground connection is made by soldering a wire to a cold water pipe.
2948,In the case of a portable set the ground may be made by driving a metal rod into the ground or sinking metal netting into a body of water.
2949,The telephone receivers cannot well be made and must therefore be bought.
2950,The type of phones used will therefore depend entirely on the builder's purse.
2951,"The Sending Set The same aerial and ground are used for sending as were used for receiving, and for the experimenter, it will be far cheaper to buy a spark coil for his sending set than to attempt to make one."
2952,"For a field set there will be very little need of a sending helix, as close tuning will be hardly possible; but for the stationary set this is very useful."
2953,"The helix is made by building a drum with square heads fastened together by six or eight uprights, arranged on the circumference of a circle."
2954,On this then are wound ten or twelve turns of No.
2955,Binding posts are fastened to the ends of the wire and variable contact made on the turns by means of metal spring clips.
2956,The spark gap is made of a hard wood base with two uprights to which are fastened strips of brass.
2957,Under these strips are placed two pieces of battery zincs so as to make the gap between their ends variable.
2958,Binding posts are fastened to the strips for contact.
2959,"The sending condenser is the same as the receiving in construction, but different in material."
2960,"The dielectric is glass while the conducting surfaces are tin foil, arranged in a pile of alternate sheets of glass and foil."
2961,"The foil is shaped as in drawing and alternate sheets have their lugs projecting on opposite sides, all lugs on same side being connected together."
2962,"For a one inch coil but a few of these plates are needed, but for higher power a greater number are necessary."
2963,Illustration: Wireless Telegraph Set Designed for Boy Scouts of America by L.
2964,All that now remains is the setting up of the instruments.
2965,"They are arranged as in the drawing, a double point, double throw switch being used to switch from sending to receiving."
2966,"After having connected up the receiving instruments, the receiver is placed at the ear and the point of the detector placed on the various parts of the mineral until the signals are heard clearly."
2967,Then the tuning coil is adjusted until the signals are loudest.
2968,"The sending apparatus is set up, the key and batteries having been bought or made, and used to call some other station."
2969,The clip is put on various twins of the helix until the other station signals that the signals are loudest.
2970,The station is then ready for actual operation.
2971,"NOTES Notes Notes Notes CHAPTER V HEALTH AND ENDURANCE _George J. Fisher, M. D. Secretary, Physical Department International Committee Young Men's Christian Association_ Fitness Two things greatly affect the conditions under which a boy lives in these days."
2972,"One is that he lives in doors for the greater part of the time, and the other is that he must attend school, which is pretty largely a matter of sitting still."
2973,Two things therefore are needs of every boy: out door experience and physical activity.
2974,"To secure endurance, physical power, physical courage, and skill, the first thing needful is to take stock of one's physical make up, put the body in the best possible condition for doing its work and then keep it in good order."
2975,"Proper Carriage Head up, chin in, chest out, and shoulders back is a good slogan for a boy scout who desires an erect figure."
2976,One can scarcely think of a round shouldered scout.
2977,Yet there are such among the boys who desire to be scouts.
2978,There is no particular exercise that a boy can take to cure round shoulders.
2979,"The thing to remember is that all exercise that is taken should be done in the erect position, then the muscles will hold the body there."
2980,"An erect body means a deeper chest, room for the important organs to work and thus affords them the best chance to act."
2981,A few setting up exercises each day in the erect position will help greatly to get this result.
2982,"Illustration: Exercise Position: Heels together, arms down and at sides, palms in."
2983,"Movement: Swing arms, sideways, upward to vertical, and return."
2984,"Illustration: Exercise Same as Exercise I, except that arms are swung forward, upward to vertical."
2985,Position: Arms extended to side horizontal.
2986,"Position: Arms at side, horizontal, back slightly arched."
2987,Position: Forearms flexed at side of chest.
2988,Movement: Thrust arms forward and return.
2989,"Position: Arms at front, horizontal, forearms flexed, fingers on shoulders."
2990,"Movement: Swing backward to side, horizontal in position."
2991,"Movement: Swing downward, forward, bringing arms beyond sides of body."
2992,Rise on toes with end of backward swing.
2993,"Position: Arms at vertical, thumbs locked, head fixed between arms."
2994,"Movement: Bend forward as far as possible, without bending knees, and return."
2995,"Movement: Arm circles, downward, inward, across chest."
2996,"Movement: Sideward bend, right and left."
2997,Setting up Exercises Growth The chief business of a boy is to grow.
2998,"He may have other affairs, but this is his chief concern."
2999,"He should, therefore, have a few simple rules for living and make them a part of his daily life."
3000,Out door Exercises Each day should have its out door exercises.
3001,Walking is a splendid form of exercise.
3002,Walk to school or business; don't ride unless absolutely necessary because of unusual distance.
3003,"Walk with a good, swinging stride with chest well up and spine fairly straight."
3004,Slow running across country is great; it lacks strain and yet affords splendid stimulation to heart and lungs.
3005,Cross country running and hiking should be favorite sport for scout patrols and troops.
3006,"A boy ought to have at least two hours of sport daily in some good, vigorous game, such as baseball or tennis, and, if he can possibly afford it, at least two periods a week, of an hour each, in a gymnasium, where he can receive guidance in body building."
3007,"Boys under sixteen should avoid exercise of strain, such as weight lifting, or sprint running over one hundred yards, or long distance racing."
3008,They should have careful guidance in all gymnastic work.
3009,Work on apparatus may prove harmful unless of the right sort.
3010,The horse and parallel bars should be used largely to jump over rather than perform upon.
3011,"Exercises demanding a sustained support of the body with the arms are not helpful, but may be harmful."
3012,"The chief activity should be of the legs, to strengthen heart and lungs."
3013,A boy should be careful not to overdo.
3014,In his excitement to win in a contest he is likely to do this unless cautioned.
3015,A boy should never try to reduce his weight.
3016,Now that there are weight classes in sports for boys there is a temptation to do this and it may prove very serious.
3017,Severe training for athletics should be avoided.
3018,All training should be in moderation.
3019,"Medical Examinations Every boy ought to have, as he takes up his boy scout work, a thorough medical examination."
3020,Some physician who is interested in boys will be willing to act as examiner for a patrol or troop.
3021,A boy should know the condition of his heart and lungs before entering any contest.
3022,"If he has any defects in his breathing apparatus nose, throat, or lungs, these should be attended to or they will seriously interfere with his endurance tests."
3023,"Baths Beside exercises a boy should have simple, workable rules for living."
3024,A boy ought to take a good soap bath at least twice a week and always after he has played a hard game or performed work of a nature that has caused him to perspire freely.
3025,"Each morning a quick sponge bath should be the first order of the day, in water as cool as he can stand it, followed by a good rub with a coarse towel."
3026,"If there is a feeling of warmth after the bath, it is helpful, if not, the water should be slightly warm or only a portion of the body should be bathed at a time."
3027,Pain One thing that should be regarded seriously is pain in any form in any part of the body.
3028,"If there is a dull headache frequently, find out what causes it."
3029,"Pain in the knee, the arch of the foot, or at any point, should be taken seriously."
3030,"It may be brave to bear it, but it is not wise."
3031,Remember that pain felt in one part of the body may be the result of something wrong in another part.
3032,See a wise doctor about it.
3033,Eating And now in reference to what one shall eat.
3034,The average boy ought to have and usually does have an appetite like an ostrich.
3035,"Three points to remember are; don't eat too much, most healthy boys do; don't eat meat more than once a day; and, third, don't eat anything that you always taste for several hours after you have eaten it, even though you like it."
3036,Digestion The fact that you taste it is an indication that your stomach is having a wresting match with the food.
3037,"Some people can't digest onions, others thrive upon them."
3038,"Some can't eat cucumbers, others can do so readily."
3039,The one must give them up; the other can continue to eat them.
3040,Each person has some peculiarity of diet and must observe it to be happy.
3041,Many a race has been lost through failure to obey this rule.
3042,Most boys eat too much of a mixed nature.
3043,"They mix pickles, soda water, frankfurters, and chocolate without fear or favor."
3044,No wonder there is so much stomach ache.
3045,In boys' camps the chief trouble is indigestion caused by this riot of eating.
3046,"Such boys are laying up for themselves for the future some beautiful headaches and bilious attacks, which, when they become chronic later, will cry out against them and seriously impair their value."
3047,Don't eat when very tired; lie down a while and get rested.
3048,"Don't eat heavily before exercising, or, better, put it the other way around, don't exercise immediately after eating."
3049,Never eat when excited or angry and very lightly when worried or when expecting to study hard.
3050,We should learn to eat slowly and chew the food thoroughly remembering that all food before it can be taken up in the blood must be as thin as pea soup.
3051,Chewing well will help the digestive organs greatly.
3052,Always wash the hands before eating.
3053,Be careful about eating food that has been exposed to the dust unless it has been washed.
3054,Drink freely of clean water between meals.
3055,Never use a public drinking cup without thoroughly rinsing it.
3056,Don't touch your lips to the rim of the cup.
3057,Boys who cook their own meals when in camp should be careful to have their food well done.
3058,Half baked and soggy food proves indigestible.
3059,Coffee and Tea Should a boy drink coffee or tea
3060,This is a question often asked by boys.
3061,Coffee and tea are the greatest stimulants known.
3062,But does a strong boy need a stimulant
3063,What is a stimulant and what does it do
3064,"A stimulant is a whip, making the body do more at a given time than it ordinarily would."
3065,"It doesn't add any fibre to the tissues, doesn't add any strength, isn't a food, but merely gets more out of the tissues or nervous system than they would ordinarily yield."
3066,"Of course there is a reaction, because the tissues have had nothing to feed on."
3067,"Herbert Fisher says that Peary's men, who drank lots of tea on their voyage north, during the most trying time of their trip showed it in their haggard faces and loss of tissue."
3068,Their own tissues had turned cannibal and fed on their own material.
3069,They add no strength to the body.
3070,They exact of the body what ought not to be exacted of it.
3071,There is always a reaction and one is always worse off as a result.
3072,"Growing boys especially should have nothing to do with tea, coffee, or any stimulant."
3073,"Alcohol and Tobacco Alcohol is not a stimulant, but is really a narcotic that is very depressing."
3074,The same is true of nicotine in tobacco.
3075,No growing boy should use either.
3076,The first athletes to drop out of a race are usually drinkers and all trainers know that smoking is bad for the wind.
3077,"Constipation Those boys who find their digestion sluggish and are troubled with constipation may find the following plan helpful in overcoming the condition: Drink a cool, copious draught of water upon arising."
3078,Then take some body bending exercises.
3079,Follow this with the sponge bath.
3080,"Then, if possible, take a walk around the block before breakfast."
3081,"After school, play some favorite game for at least an hour."
3082,"In the absence of this, take a good hike of three or four miles or a longer bicycle ride."
3083,"At least twice a week, if possible, enter a gymnasium class and make special emphasis of body bending exercises."
3084,Have a regular time for going to stool.
3085,A good plan is to go just before retiring and immediately upon arising.
3086,Go even though you feel no desire to do so.
3087,A regular habit may be established by this method.
3088,Always respond quickly to any call of nature.
3089,Toasted bread and graham bread and the coarser foods and fruit will be found helpful.
3090,The Teeth Closely related to the matter of eating is the proper care of the teeth.
3091,Perhaps without care the mouth is the filthiest cavity of the body.
3092,"We spend a great deal of energy trying to keep food clean and water pure, but what is the use if we place them in a dirty cavity as they enter the body."
3093,of the children examined in our schools have decayed and dirty teeth.
